sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,M,67.06,Central,54.83,Others,Science,82.67,Comm&Mgmt,Yes,98.0,Mkt&HR,55.13,Not Placed,200000.0
2,M,89.4,Others,73.62,Central,Science,87.73,Sci&Tech,No,79.79,Mkt&Fin,76.14,Placed,261216.0
3,M,48.78,Central,65.18,Central,Science,76.31,Comm&Mgmt,No,97.92,Mkt&HR,69.72,Not Placed,520378.0
4,M,74.67,Others,43.21,Central,Commerce,80.92,Comm&Mgmt,No,84.79,Mkt&Fin,64.1,Not Placed,
5,F,85.44,Others,52.75,Central,Commerce,82.13,Comm&Mgmt,No,73.09,Mkt&Fin,69.23,Placed,259627.0
6,M,66.34,Central,37.0,Central,Science,91.0,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
7,M,55.89,Others,60.88,Others,Commerce,74.04,Sci&Tech,Yes,98.0,Mkt&Fin,68.31,Not Placed,208273.0
8,M,75.13,Central,55.48,Central,Commerce,84.84,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,282579.0
9,F,40.89,Central,52.5,Others,Commerce,60.55,Sci&Tech,No,98.0,Mkt&HR,66.05,Not Placed,
10,M,56.26,Others,64.36,Others,Science,66.41,Sci&Tech,No,72.68,Mkt&HR,58.43,Not Placed,
11,M,66.92,Central,59.06,Central,Arts,73.48,Comm&Mgmt,Yes,98.0,Mkt&HR,71.02,Not Placed,316127.0
12,F,58.01,Others,78.05,Central,Commerce,70.81,Comm&Mgmt,No,98.0,Mkt&Fin,70.25,Not Placed,274523.0
13,M,50.04,Central,77.75,Others,Commerce,77.35,Comm&Mgmt,No,98.0,Mkt&Fin,56.27,Placed,239794.0
14,M,44.73,Others,51.56,Others,Commerce,50.0,Comm&Mgmt,Yes,98.0,Mkt&Fin,64.31,Not Placed,
15,F,73.0,Others,54.76,Others,Science,70.84,Comm&Mgmt,No,80.05,Mkt&HR,70.59,Not Placed,
16,M,83.67,Central,72.36,Others,Commerce,83.68,Comm&Mgmt,No,98.0,Mkt&Fin,66.11,Not Placed,
17,F,54.6,Others,61.44,Others,Commerce,77.06,Sci&Tech,No,98.0,Mkt&Fin,73.28,Not Placed,
18,M,75.34,Central,39.53,Central,Science,88.89,Comm&Mgmt,No,98.0,Mkt&Fin,52.36,Placed,275264.0
19,M,40.89,Others,68.22,Central,Science,61.5,Comm&Mgmt,No,98.0,Mkt&Fin,73.27,Not Placed,
20,M,40.89,Central,37.0,Central,Science,58.97,Comm&Mgmt,No,66.84,Mkt&HR,66.1,Not Placed,
